"pagos","gratis","carga.paga","carga.gratis","correio"
2627,83,65583,0,0
5710,219,99078,0,0
6500,147,118030,0,0
6567,362,175748,0,0
7832,247,177613,0,0
2661,49,124108,0,0
5793,166,161295,0,0
6441,164,222478,0,0
5506,385,79989,0,0
7150,373,169273,0,0
2326,66,109441,0,0
5117,166,139469,0,0
5014,142,179838,7964,0
5658,398,109641,0,0
7081,310,185214,0,0
2008,79,83949,0,0
5430,184,187817,0,0
4767,142,198253,0,0
5012,299,72692,0,0
6967,345,189646,0,0
1642,90,87007,0,0
6176,204,126371,0,0
4033,165,177927,0,0
0,0,0,0,0
5611,400,62977,0,0
2226,75,3404,0,0
7921,282,117073,0,0
1788,70,73623,0,0
8119,206,112064,0,0
5457,198,178842,0,0
0,0,562408,0,0
0,0,0,0,0
0,0,0,0,0
0,0,697336,0,0
0,0,741544,0,0
0,0,529944,0,0
0,0,0,0,0
0,0,45381,0,0
0,0,494895,0,0
0,0,0,0,0
0,0,577354,0,0
0,0,0,0,0
0,0,559041,0,0
0,0,48161,0,0
0,0,536853,0,0
0,0,0,0,0
0,0,497409,0,0
0,0,0,0,0
0,0,519310,0,0
0,0,0,0,0
0,0,399965,0,0
0,0,0,0,0
0,0,494011,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3895,80,0,0,0
3459,166,0,0,0
2627,82,0,0,0
1083,9,0,0,0
0,0,0,0,0
4918,94,0,0,0
4601,68,0,0,0
3662,51,0,0,0
2650,30,0,0,0
0,0,0,0,0
0,0,1113002,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,888448,0,0
0,0,82930,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1109018,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,353915,0,0
0,0,0,0,0
0,0,4926,0,0
0,0,39720,0,0
0,0,18917,0,0
0,0,0,0,0
0,0,230987,0,0
0,0,0,0,0
0,0,0,0,0
0,0,50912,0,0
0,0,19292,0,0
0,0,341841,0,0
0,0,341841,0,0
0,0,0,0,0
0,0,0,0,0
0,0,83066,0,0
0,0,109041,0,0
0,0,246538,0,0
0,0,246538,0,0
0,0,0,0,0
0,0,0,0,0
0,0,32432,0,0
0,0,125695,0,0
0,0,289451,0,0
0,0,289451,0,0
0,0,11063,0,0
0,0,0,0,0
0,0,44263,0,0
0,0,121952,0,0
0,0,238644,0,0
0,0,238644,0,0
0,0,0,0,0
0,0,7166,0,0
0,0,36922,0,0
0,0,85515,0,0
0,0,274323,0,0
0,0,274323,0,0
0,0,0,0,0
0,0,0,0,0
0,0,26362,0,0
0,0,46632,0,0
0,0,320312,0,0
0,0,320312,0,0
0,0,116,0,0
0,0,4316,0,0
0,0,29039,0,0
0,0,40820,0,0
0,0,0,0,0
0,0,320578,0,0
0,0,0,0,0
0,0,3260,0,0
0,0,63009,0,0
0,0,16353,0,0
0,0,0,0,0
0,0,265501,0,0
0,0,0,0,0
0,0,2825,0,0
0,0,51762,0,0
0,0,11132,0,0
0,0,0,0,0
0,0,222410,0,0
0,0,116,0,0
0,0,0,0,0
0,0,56223,0,0
0,0,19074,0,0
0,0,0,0,0
0,0,262750,0,0
0,0,11580,0,0
0,0,0,0,0
0,0,51078,0,0
0,0,11650,0,0
0,0,51196,0,0
0,0,99793,0,0
0,0,50852,0,0
0,0,0,0,0
0,0,92777,0,0
0,0,141149,0,0
0,0,3611,0,0
0,0,236553,0,0
0,0,51546,0,0
0,0,47194,0,0
0,0,0,0,0
0,0,155069,0,0
0,0,63696,0,0
0,0,48839,0,0
0,0,116214,0,0
0,0,349367,0,0
0,0,192283,0,0
0,0,260193,0,0
0,0,148707,0,0
0,0,47972,0,0
0,0,0,0,0
0,0,196611,0,0
0,0,0,0,0
0,0,569574,0,0
0,0,68189,0,0
0,0,9453,0,0
0,0,496415,0,0
0,0,146984,0,0
0,0,261775,0,0
0,0,288186,0,0
0,0,71926,0,0
0,0,275387,0,0
0,0,76443,0,0
0,0,47576,0,0
0,0,156763,0,0
0,0,277876,0,0
0,0,0,0,0
0,0,0,0,0
0,0,241651,0,0
0,0,190578,0,0
0,0,47874,0,0
0,0,69303,0,0
0,0,46762,0,0
0,0,151086,0,0
0,0,0,0,0
0,0,0,0,0
0,0,529090,0,0
0,0,9049,0,0
0,0,79666,0,0
0,0,38349,0,0
0,0,193302,0,0
0,0,96441,0,0
0,0,152552,0,0
0,0,0,0,0
0,0,25924,0,0
0,0,130148,0,0
0,0,0,0,0
0,0,7159,0,0
0,0,37902,0,0
0,0,22520,0,0
0,0,124666,0,0
0,0,900025,0,0
0,0,340114,0,0
0,0,758772,0,0
0,0,280556,0,0
0,0,0,0,0
0,0,241894,0,0
0,0,361,0,0
0,0,7228,0,0
0,0,0,0,0
0,0,8385,0,0
0,0,0,0,0
0,0,1235588,0,0
0,0,845,0,0
0,0,397930,0,0
0,0,558831,0,0
0,0,0,0,0
0,0,246691,0,0
0,0,5456,0,0
0,0,18558,0,0
0,0,17678,0,0
0,0,35119,0,0
0,0,49657,0,0
0,0,1171310,0,0
0,0,0,0,0
0,0,425846,0,0
0,0,843198,0,0
0,0,0,0,0
0,0,0,0,0
0,0,6837,0,0
0,0,255888,0,0
0,0,0,0,0
0,0,46137,0,0
0,0,0,0,0
0,0,37820,0,0
0,0,0,0,0
0,0,20200,0,0
0,0,1446860,0,0
0,0,595415,0,0
0,0,743482,0,0
0,0,0,0,0
0,0,50190,0,0
0,0,33941,0,0
0,0,0,0,0
0,0,139861,0,0
0,0,31643,0,0
0,0,0,0,0
0,0,18696,0,0
0,0,82492,0,0
0,0,96115,0,0
0,0,1507787,0,0
0,0,0,0,0
0,0,595425,0,0
0,0,715491,0,0
