"pagos","gratis","carga.paga","carga.gratis","correio"
0,0,44470,0,0
0,0,14571,0,0
0,0,0,0,0
0,0,70653,0,0
0,0,0,0,0
0,0,0,0,0
0,0,275854,0,0
0,0,248469,0,0
0,0,0,0,0
0,0,562175,0,0
0,0,82389,0,0
0,0,162891,0,0
0,0,549696,0,0
0,0,25869,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2603,0,0
0,0,381569,0,0
0,0,0,0,0
0,0,0,0,0
0,0,647167,0,0
0,0,436276,0,0
0,0,127606,0,0
0,0,470568,0,0
0,0,33098,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,28487,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1869,0,0
0,0,173562,0,0
0,0,0,0,0
0,0,236188,0,0
0,0,0,0,0
0,0,531897,0,0
0,0,102610,0,0
0,0,374002,81590,0
0,0,42053,5929,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,56612,0,0
0,0,10220,0,0
0,0,0,0,0
0,0,59,0,0
0,0,0,0,0
0,0,7142,0,0
0,0,28112,0,0
0,0,0,0,0
0,0,129806,0,0
0,0,19627,0,0
0,0,715401,0,0
0,0,165543,0,0
0,0,503749,0,0
0,0,52616,0,0
0,0,0,0,0
0,0,4142,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3507,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5654,0,0
0,0,37311,0,0
0,0,0,0,0
0,0,217950,0,0
0,0,192145,0,0
0,0,555045,0,0
0,0,111250,0,0
0,0,544448,0,0
0,0,34405,0,0
0,0,0,0,0
0,0,65261,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1058,0,0
0,0,0,0,0
0,0,20656,0,0
0,0,0,0,0
0,0,173497,0,0
0,0,489582,0,0
0,0,668147,0,0
0,0,102723,0,0
0,0,457951,0,0
0,0,66417,0,0
0,0,0,0,0
0,0,77020,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,45881,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2021,0,0
0,0,30397,0,0
0,0,0,0,0
0,0,240074,0,0
0,0,281012,0,0
0,0,208951,0,0
0,0,416105,0,0
0,0,160135,0,0
0,0,305037,0,0
0,0,193641,0,0
0,0,0,0,0
0,0,56452,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,164892,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3259,0,0
0,0,0,0,0
0,0,15132,0,0
0,0,0,0,0
0,0,116749,0,0
0,0,0,0,0
0,0,110264,0,0
0,0,208171,0,0
0,0,448532,0,0
0,0,141315,0,0
0,0,0,0,0
0,0,313649,0,0
0,0,133312,7776,0
0,0,0,0,0
0,0,0,0,0
0,0,12400,0,0
0,0,0,0,0
0,0,43036,0,0
0,0,0,0,0
10935,0,436182,0,0
10939,1,426955,0,47485
7785,0,342784,0,0
9022,0,415695,0,51255
9839,1,528697,0,0
10389,2,423652,0,61891
9709,0,518484,0,0
10710,0,322211,0,48169
10783,0,523095,0,0
10837,0,367596,0,53719
10233,3,716790,0,39
10027,0,334040,0,56601
10236,0,504607,0,0
10083,0,295301,0,49664
7463,0,359578,0,0
10543,0,396283,0,45258
9973,1,439439,0,0
10216,0,453605,0,43203
3747,2,171264,0,0
9972,0,457455,0,46346
2849,3,159679,0,0
9929,0,401248,0,78154
9523,2,411164,0,0
10853,0,333757,0,111173
2351,0,29825,0,0
2133,0,47432,0,0
1873,0,24028,0,0
2465,0,34204,0,0
2437,0,46177,0,0
2400,0,87486,0,0
2089,0,77452,0,0
2505,0,95484,0,0
2331,0,86866,0,0
1822,0,39658,0,0
1707,0,55341,0,0
2138,0,36581,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,518846,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,446451,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,703510,0,0
0,0,0,0,0
0,0,0,0,0
0,0,114835,0,0
0,0,3680,0,0
0,0,994559,0,0
0,0,122171,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,14029,0,0
0,0,0,0,0
0,0,456460,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,766140,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,645207,0,0
0,0,62071,0,0
0,0,0,0,0
0,0,0,0,0
0,0,61145,0,0
0,0,8888,0,0
0,0,653730,0,0
0,0,21105,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,55279,0,0
0,0,587084,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,78276,2364,0
0,0,36095,0,0
0,0,847329,0,0
0,0,223941,0,0
0,0,0,0,0
0,0,0,0,0
0,0,50941,0,0
0,0,863330,0,0
0,0,322213,0,0
0,0,0,0,0
0,0,72275,0,0
0,0,48146,0,0
0,0,867798,0,0
0,0,403327,0,0
4740,0,142511,0,45
8593,169,63587,0,0
4102,0,140312,0,0
7413,79,61290,0,0
3957,0,133000,0,90
7592,102,66545,2220,0
4891,286,125538,0,85
8501,117,106425,0,0
274,0,0,0,0
4859,0,117245,0,145
8710,214,128374,0,0
5819,0,145665,0,970
8699,172,130760,0,0
5287,0,152138,0,20
8557,159,162724,0,0
6063,0,133010,0,65
8623,184,138998,0,0
268,9,0,0,0
5196,0,124043,0,15
8038,166,114985,0,0
5585,0,154362,0,815
7804,142,117375,0,0
4833,0,171405,0,2
7004,125,160480,0,0
6288,0,148346,0,99
9218,164,261260,9175,0
0,0,0,0,0
831,0,0,0,0
391,0,22856,0,0
0,0,0,0,0
554,0,20,0,0
229,0,19236,0,0
0,0,0,0,0
507,0,0,0,0
516,0,24288,0,0
0,0,0,0,0
663,0,0,0,0
231,0,18944,0,0
9136,145,188974,0,76
10937,59,373897,0,2865
8558,82,307892,0,0
10063,51,381572,0,1991
9009,69,404117,0,0
10269,63,507486,0,3480
1070,10,55252,0,529
8679,63,475640,0,0
9864,29,389289,0,7061
1620,1,78934,0,0
2025,73,4472,0,0
9276,91,375851,0,0
10633,44,411082,0,6470
798,0,29984,0,459
2531,31,23600,0,0
8895,54,460951,0,0
10720,14,375542,0,8163
793,7,27329,0,690
3188,25,10476,0,0
8415,88,447574,0,0
277,3,20943,0,0
10045,22,273257,0,6902
1553,11,35552,0,3462
291,11,12153,0,0
1797,28,19317,0,0
8190,125,330528,0,0
9625,28,318753,0,6991
1928,10,91313,0,598
323,2,14350,0,968
3160,27,46401,0,0
8672,47,277098,0,0
8957,70,363385,0,6588
396,5,11644,0,0
0,0,0,0,0
2964,64,61668,0,0
7468,92,245364,0,0
