"pagos","gratis","carga.paga","carga.gratis","correio"
3312,0,1101,0,0
1123,0,0,0,0
462,0,0,0,0
600,0,0,0,0
3334,0,0,0,9264
3347,0,187,0,0
3094,0,0,0,0
574,0,0,0,0
9627,0,0,0,0
17538,0,0,0,0
2703,0,624,0,0
11825,0,2533,0,9316
3801,0,0,0,0
1117,0,0,0,0
589,0,0,0,0
3592,0,0,0,0
582,0,0,0,0
105,0,0,0,0
69,0,0,0,0
3072,0,502,0,0
6522,0,0,0,0
16398,0,0,0,0
12134,0,13,0,517
2488,0,404,0,497
1292,0,0,0,0
295,0,0,0,0
503,0,0,0,0
761,0,0,0,0
801,0,0,0,601
885,0,0,0,0
3790,0,0,0,0
29,0,0,0,0
2985,0,0,0,0
163,0,0,0,0
6601,0,0,0,0
671,0,0,0,0
161,0,0,0,0
14074,0,0,0,0
289,0,0,0,0
3344,0,0,0,0
13265,0,2591,0,891
53,0,0,0,0
4058,0,0,0,0
1353,0,0,0,0
584,0,0,0,0
3763,0,0,0,0
724,0,0,0,0
2359,0,564,0,0
5509,0,0,0,0
3460,0,0,0,0
8934,0,0,0,1056
12443,0,0,0,1348
678,0,0,0,0
114,0,0,0,0
505,0,0,0,0
507,0,0,0,0
3738,0,0,0,5262
2314,0,134,0,0
3116,0,400,0,0
86,0,0,0,0
3021,0,0,0,0
4949,0,0,0,0
973,0,0,0,0
3575,0,0,0,0
13602,0,4,0,0
13601,0,4422,0,3712
70,0,0,0,0
3509,0,92,0,0
1123,0,0,0,0
583,0,0,0,0
3245,0,1531,0,0
528,0,0,0,0
114,0,0,0,0
2259,0,1766,0,0
3969,0,0,0,0
248,0,0,0,0
781,0,0,0,0
11196,0,0,0,759
9184,0,120,0,3092
1958,0,338,0,0
1422,0,0,0,0
104,0,0,0,0
2501,0,0,0,0
4186,0,0,0,0
297,0,0,0,0
4863,0,0,0,0
6339,0,0,0,0
0,0,0,0,0
12144,0,4857,0,4745
121,0,0,0,0
2842,0,643,0,0
71,0,0,0,0
1667,0,0,0,0
2283,0,2694,0,0
10439,0,26,0,411
9232,0,2,0,10211
43,0,0,0,0
2175,0,138,0,0
1181,0,0,0,0
144,0,0,0,0
2343,0,147,0,0
93,0,0,0,0
97,0,0,0,0
2806,0,0,0,0
5995,0,0,0,0
11356,0,120,0,583
64,0,0,0,0
163,0,0,0,0
2583,0,1087,0,0
1388,0,0,0,0
2790,0,7183,0,0
14249,0,59,0,582
474,0,0,0,0
373,0,0,0,0
127,0,0,0,617
12360,0,0,0,9544
2789,0,275,0,0
382,0,0,0,0
2769,0,0,0,0
2975,0,0,0,1
3724,0,6,0,0
7768,0,296,0,0
13935,0,0,0,29
3365,0,42,0,0
397,0,0,0,0
219,0,0,0,0
2049,0,1916,0,0
274,0,0,0,0
212,0,0,0,0
2730,0,4428,0,0
14676,0,484,0,525
433,0,0,0,0
473,0,0,0,0
11509,0,586,0,9740
2887,0,1699,0,0
492,0,0,0,0
2646,0,215,0,0
2932,0,0,0,1
3597,0,640,0,0
7831,0,0,0,0
15039,0,1499,0,932
3677,0,510,0,0
388,0,0,0,0
448,0,0,0,0
285,0,0,0,0
2525,0,0,0,0
2769,0,1233,0,0
130,0,0,0,0
12552,0,51,0,492
410,0,0,0,0
560,0,0,0,0
660,0,0,0,0
11975,0,543,0,6399
2275,0,0,0,0
2312,0,0,0,0
2869,0,0,0,147
2646,0,23,0,0
2145,0,66,0,0
8962,0,0,0,0
13114,0,665,0,2449
527,0,0,0,0
2789,0,838,0,0
519,0,0,0,0
1589,0,0,0,0
620,0,0,0,0
2464,0,0,0,0
90,0,0,0,0
2619,0,0,0,0
471,0,0,0,0
11541,0,0,0,0
378,0,0,0,0
474,0,0,0,0
11059,0,0,0,0
2623,0,0,0,0
577,0,0,0,0
2758,0,0,0,0
2512,0,0,0,0
81,0,0,0,0
498,0,0,0,0
11956,0,0,0,0
11500,0,0,0,0
831,0,0,0,0
3027,0,0,0,0
502,0,0,0,0
635,0,0,0,0
1167,0,0,0,0
446,0,0,0,0
1336,0,0,0,0
2507,0,344,0,0
606,0,0,0,0
10510,0,0,0,0
704,0,0,0,0
545,0,0,0,0
11399,0,0,0,0
2804,0,2776,0,0
391,0,0,0,0
2522,0,0,0,0
2379,0,0,0,0
390,0,0,0,0
10812,0,0,0,0
10391,0,0,0,0
550,0,0,0,0
2974,0,894,0,0
626,0,0,0,0
402,0,0,0,0
491,0,0,0,0
2411,0,0,0,0
126,0,0,0,0
2128,0,314,0,56
3434,0,0,0,0
5795,0,0,0,0
7770,0,111,0,457
395,0,0,0,0
1198,0,0,0,742
698,0,0,0,0
164,0,0,0,0
287,0,0,0,0
12103,0,451,0,6506
1482,0,392,0,196
1961,0,1445,0,0
1019,0,0,0,0
3304,0,1506,0,0
2509,0,942,0,0
19,0,0,0,0
2051,0,0,0,0
217,0,0,0,0
7222,0,0,0,0
761,0,0,0,0
8978,0,1752,0,0
10881,0,2425,0,843
262,0,841,0,0
2611,0,3925,0,55
234,0,0,0,0
906,0,0,0,0
616,0,0,0,0
3019,0,127,0,0
73,0,0,0,0
2564,0,57,0,227
2168,0,4,0,0
158,0,0,0,0
1959,0,572,0,336
2098,0,46,0,157
382,0,0,0,76
2405,0,1227,0,623
95,0,0,0,0
488,0,0,0,0
2528,0,5,0,505
505,0,0,0,0
82,0,0,0,0
788,0,0,0,0
408,0,0,0,0
151,0,0,0,0
1900,0,667,0,962
1736,0,863,0,0
346,0,0,0,0
78,0,0,0,0
422,0,0,0,0
657,0,0,0,0
403,0,0,0,0
307,0,0,0,0
192,0,0,0,0
2156,0,0,0,3698
1508,0,0,0,0
319,0,0,0,0
562,0,0,0,0
306,0,0,0,0
1783,0,715,0,778
1741,0,0,0,1379
261,0,0,0,0
83,0,0,0,0
421,0,0,0,0
730,0,0,0,0
336,0,0,0,0
185,0,0,0,0
92,0,0,0,0
1773,0,22,0,4784
1433,0,0,0,0
1487,0,697,0,326
1840,0,27,0,0
1417,0,151,0,4337
1326,0,1438,0,0
2308,0,1441,0,686
2079,0,0,0,0
2132,0,482,0,4800
1643,0,220,0,0
1983,0,1665,0,174
2304,0,476,0,0
1933,0,633,0,5061
1652,0,771,0,300
1836,0,330,0,568
2108,0,217,0,0
166,0,0,0,0
1687,0,148,0,3374
1469,0,1422,0,0
525,0,0,0,0
1875,0,0,0,0
1625,0,0,0,0
282,0,0,0,0
77,0,0,0,0
1929,0,0,0,0
1252,0,0,0,0
532,0,0,0,0
62,0,0,0,0
1734,0,0,0,0
2020,0,620,0,0
491,0,0,0,0
76,0,0,0,0
53,0,0,0,0
1703,0,0,0,0
1471,0,584,0,0
1018,0,0,0,0
116,0,0,0,0
275,0,0,0,0
219,0,0,0,0
1645,0,1061,0,356
1776,0,0,0,0
178,0,0,0,0
98,0,0,0,0
666,0,0,0,0
275,0,0,0,0
1764,0,1512,0,4494
1790,0,72,0,0
50,0,0,0,0
50,0,0,0,0
6933,133,24570,0,0
17182,375,153627,0,0
6812,124,98315,0,0
17214,345,289336,0,0
5539,64,10759,0,0
13601,310,150383,0,0
6714,59,115684,0,0
15268,332,344199,0,0
5438,126,30096,0,0
13841,326,268577,0,0
6884,122,124027,0,0
15798,373,448022,0,0
4528,101,7437,0,0
16132,378,228079,0,0
4023,87,19629,0,0
13522,356,461133,0,0
4151,94,6747,0,0
17242,428,151470,0,0
4131,88,8010,0,0
16687,372,552513,0,0
3529,83,9871,0,0
13932,304,212608,0,0
4006,79,6072,0,0
14015,363,396255,0,0
126,6,68,0,0
4371,88,8372,0,0
11846,261,213785,0,0
3971,77,8765,0,0
10701,238,259829,0,0
152,1,0,0,0
4149,100,4027,0,0
5488,126,138231,0,0
4551,71,10013,0,0
6301,147,130496,0,0
6024,110,41405,0,0
6709,132,58414,0,0
6625,177,48428,0,0
6901,168,50904,0,0
6413,173,44317,0,0
6630,151,75071,0,0
6804,157,48683,0,0
6045,183,56401,0,0
6905,298,64228,0,20747
12568,262,174319,0,19094
7132,291,73756,1275,10892
11054,245,234985,0,21999
5351,275,112178,0,10917
9997,227,238225,0,16251
5844,188,92664,0,0
10339,188,348523,0,27328
127,5,796,0,0
6926,148,99468,0,0
12001,239,345521,0,37630
283,6,286,0,0
7209,141,83176,0,3
12861,237,347995,0,27791
7610,210,67189,0,2
12281,280,404117,0,19442
268,18,7070,0,871
6272,294,63707,0,0
12064,323,366998,0,34907
213,9,0,0,0
277,8,1741,0,0
6534,161,43265,0,108
12199,219,313054,0,5981
6934,224,92776,0,253
13070,210,290874,0,3970
515,2,9534,0,0
6280,205,89757,0,2444
14754,226,321510,0,33907
6408,259,52434,0,19860
15073,373,256345,0,42624
78,0,0,0,0
645,0,0,0,0
323,0,0,0,0
158,0,0,0,0
130,0,0,0,0
169,0,0,0,0
83,0,0,0,0
687,0,0,0,0
342,0,0,0,0
240,0,0,0,0
194,0,0,0,0
213,0,0,0,0
74,0,0,0,0
442,0,0,0,0
93,0,0,0,0
425,0,0,0,0
405,0,0,0,0
184,0,0,0,0
74,0,0,0,0
459,0,0,0,0
7,0,0,0,0
363,0,0,0,0
410,0,0,0,0
189,0,0,0,0
87,0,0,0,0
362,0,0,0,0
247,0,0,0,0
394,0,0,0,0
224,0,0,0,0
89,0,0,0,0
416,0,0,0,0
275,0,0,0,0
384,0,0,0,0
183,0,0,0,0
99,0,0,0,0
451,0,0,0,0
177,0,0,0,0
386,0,0,0,0
221,0,0,0,0
81,0,0,0,0
411,0,0,0,0
120,0,0,0,0
286,0,0,0,0
168,0,0,0,0
80,0,0,0,0
388,0,0,0,0
180,0,0,0,0
346,0,0,0,0
81,0,0,0,0
244,0,0,0,0
76,0,0,0,0
313,0,0,0,0
177,0,0,0,0
196,0,0,0,0
147,0,0,0,0
184,0,0,0,0
73,0,0,0,0
244,0,0,0,0
62,0,0,0,0
266,0,0,0,0
59,0,0,0,0
69,0,0,0,0
262,0,0,0,0
61,0,0,0,0
267,0,0,0,0
56,0,0,0,0
121,0,0,0,0
340,0,0,0,0
66,0,0,0,0
375,0,0,0,0
87,30,0,0,0
377,0,0,0,0
54,0,0,0,0
379,0,0,0,0
15,0,0,0,0
316,0,0,0,0
5,0,0,0,0
129,0,0,0,0
346,0,0,0,0
104,0,0,0,0
327,0,0,0,0
184,0,0,0,0
338,0,0,0,0
189,0,0,0,0
371,0,0,0,0
2,0,0,0,0
54,0,0,0,0
230,0,0,0,0
450,0,0,0,0
98,0,0,0,0
156,0,0,0,0
202,0,0,0,0
2490,15,440,0,0
11075,286,427556,0,0
4512,89,43147,0,0
5855,154,108642,0,0
4131,54,31093,0,0
5689,296,227810,0,0
452,1,414,0,0
9894,108,18088,0,0
3460,39,3929,0,0
2426,80,250,0,0
569,22,56,0,0
2663,111,2673,513,0
4249,134,1518,0,0
2897,64,909,1,0
2470,116,4512,1,0
91,13,0,0,0
0,0,0,0,0
6613,388,36321,51,0
462,16,0,0,0
1374,33,1925,0,0
3149,83,0,0,0
3262,41,3653,0,0
166,3,0,0,0
3254,77,9031,134,0
1250,50,0,0,0
3204,58,3412,1,0
8298,107,29212,216,0
5050,104,11302,99,0
3412,60,2919,0,0
2478,70,32652,581,0
554,7,0,0,0
348,6,389,0,0
9052,335,3408,128,0
2855,46,381,0,0
2271,42,2737,0,0
9278,522,8203,410,0
349,0,0,0,0
2614,63,3899,198,0
332,4,174,0,0
265,14,21,0,0
2882,99,5061,14,0
1343,54,436,0,0
396,7,426,0,0
3331,112,1368,0,0
8718,104,28438,0,0
518,16,0,0,0
131,12,107,0,0
7696,421,60257,6521,0
10218,373,8269,6,0
2859,128,774,0,0
100,5,0,0,0
1832,80,16664,386,0
594,11,0,0,0
2346,69,2338,75,0
6006,131,17638,4143,0
441,19,33,0,0
4499,126,9307,0,0
2937,93,1789,47,0
5149,174,10252,12,0
13057,535,10737,5,0
1511,42,1183,1,0
4628,68,4844,477,0
4069,153,7058,299,0
1347,57,266,0,0
951,11,552,0,0
22071,2525,51197,903,0
661,38,0,0,0
6222,203,4036,669,0
3855,162,5128,7,0
829,29,0,0,0
2520,174,6800,294,0
752,18,0,0,0
11130,262,4418,2661,0
3772,86,8894,594,0
2115,97,6419,134,0
13075,621,30776,16363,0
12413,677,14706,66,0
65,6,0,0,0
2068,44,163,0,0
4443,94,30151,2183,0
15003,817,11619,105,0
13071,427,27229,84,0
5542,191,9493,2,0
1958,47,2494,559,0
324,23,1543,1,0
11935,342,6294,0,0
1021,21,2373,232,0
1471,38,407,0,0
207,7,23,0,0
80,4,0,0,0
1509,14,1640,0,0
1299,10,5373,0,0
10186,412,10307,266,0
209,3,0,0,0
53,2,0,0,0
2288,33,130,0,0
153,1,0,0,0
4832,112,5569,3,0
286,5,0,0,0
236,15,0,0,0
1425,65,5802,2,0
6,50,4889,0,0
677,14,229,0,0
402,5,3,0,0
288,19,30,0,0
0,0,0,0,0
551,11,169,0,0
2814,128,3277,246,0
2496,66,7957,10,0
1399,35,5874,0,0
2202,33,0,0,0
5710,248,628,51,0
1541,43,131,0,0
143,4,0,0,0
4612,147,3000,0,0
17515,1284,37043,1968,0
5239,154,5564,383,0
4129,103,1981,56,0
105,2,0,0,0
9284,261,17390,8,0
385,0,0,0,0
2542,66,3468,0,0
4344,104,2473,0,0
97,2,0,0,0
7201,337,3869,21,0
2342,123,1618,2,0
0,0,98,0,0
20,0,0,0,0
2849,68,1937,243,0
1039,6,161,0,0
2691,57,587,0,0
260,4,786,66,0
4180,98,4366,20,0
1686,29,3413,0,0
1980,22,0,0,0
5039,73,3955,0,0
7548,174,10154,7,0
23,0,0,0,0
10621,460,23062,1640,0
1399,15,1412,0,0
262,0,0,0,0
4548,106,19152,850,0
774,14,4039,106,0
1522,16,431,0,0
588,6,0,0,0
19,4,0,0,0
2528,33,4962,407,0
1551,14,674,0,0
1554,32,3057,103,0
2553,50,4917,64,0
4407,84,8301,269,0
445,12,166,0,0
0,0,1435,0,0
3823,190,1810,0,0
339,0,0,0,0
1778,54,3600,1,0
2358,59,0,0,0
2796,56,15610,193,0
4242,88,52959,0,0
5741,431,51209,5678,0
6329,99,22244,94,0
613,15,0,0,0
1875,85,13447,0,0
1057,30,598,92,0
2809,59,4446,167,0
464,9,35,0,0
7177,302,766,0,0
1048,36,46,0,0
5488,227,1340,0,0
1488,56,167,0,0
13,0,0,0,0
2203,26,634,0,0
1027,28,0,0,0
472,7,0,0,0
1351,30,110,0,0
7992,220,1521,1,0
11900,802,17017,315,0
449,4,1,0,0
431,8,66,0,0
9106,309,1313,0,0
765,11,0,0,0
73,0,0,0,0
4453,135,263,0,0
102,5,0,0,0
403,2,59,0,0
7678,266,2866,377,0
461,17,81,0,0
3252,46,2703,0,0
5754,189,6160,8,0
4243,143,40677,33,0
64,2,0,0,0
8826,481,52597,1138,0
13264,414,16382,6094,0
2814,49,360,0,0
863,37,0,0,0
1643,20,8824,0,0
356,5,0,0,0
2875,91,280,0,0
5448,333,10970,448,0
9094,160,1173,0,0
424,8,0,0,0
346,10,202,0,0
7204,240,10893,4,0
126,2,0,0,0
4769,121,8348,0,0
2419,67,1473,0,0
10355,414,21919,330,0
208,1,0,0,0
3653,111,13583,302,0
2388,22,43,0,0
2961,46,312,0,0
2083,77,880,240,0
2271,7,2140,0,0
1744,46,2472,0,0
13466,642,22762,1,0
338,1,0,0,0
4845,144,4338,0,0
6601,130,15350,10510,0
5480,147,3608,0,0
56,4,0,0,0
2617,79,6362,0,0
2468,32,472,0,0
113,0,0,0,0
3407,74,761,0,0
6444,193,41430,1654,0
2142,25,231,0,0
13057,379,33346,12289,0
6277,260,6224,1661,0
229,8,0,0,0
2294,36,3886,0,0
1914,64,297,0,0
2873,88,2205,1,0
5288,84,3634,0,0
88,11,0,0,0
2508,46,200,0,0
3185,67,4573,0,0
126,1,0,0,0
396,13,0,0,0
2225,38,200,0,0
2273,32,1219,0,0
5389,64,3012,20,0
4326,167,3937,164,0
1139,48,0,0,0
1149,14,4052,0,0
2182,81,2066,4,0
1407,56,317,0,0
331,9,2,0,0
1324,76,239,0,0
961,23,0,0,0
3528,195,7713,80,0
4854,201,3972,33,0
2548,72,4816,0,0
1180,24,799,0,0
0,0,777,0,0
3785,189,5628,65,0
0,0,839,0,0
1676,33,520,1,0
2496,92,789,291,0
2341,118,7395,601,0
1261,49,853,36,0
7821,370,20743,4110,0
1537,56,1899,229,0
24081,2765,147686,108509,0
10888,442,16249,1222,0
4647,117,6084,307,0
383,11,80,0,0
770,10,392,64,0
16378,1178,41918,24014,0
1998,99,3795,242,0
13440,526,60445,19342,0
222,8,0,0,0
3753,188,4507,438,0
1860,62,5454,112,0
6126,343,185404,3554,0
5185,334,2221,255,0
9847,671,18328,3183,0
8958,417,67523,6773,0
5792,311,15033,1428,0
10403,463,38190,12226,0
0,0,730,0,0
2855,52,2573,608,0
1798,51,2825,193,0
412,17,61,0,0
3117,144,16042,681,0
2630,60,6281,187,0
3890,160,5292,454,0
828,13,936,32,0
4163,155,5796,1306,0
4478,273,5521,953,0
99,15,0,0,0
1579,106,1417,197,0
7389,371,13081,952,0
8935,525,15595,3513,0
16715,1672,77389,13908,0
419,0,283,0,0
4507,120,6244,251,0
1438,30,0,0,0
2446,62,3484,251,0
3229,73,2754,2512,0
434,8,0,0,0
17663,1117,158702,52274,0
21778,1635,40846,39094,0
6853,345,10333,3161,0
3608,155,12042,2096,0
4812,326,7977,418,0
16661,698,86885,23263,0
5384,104,19260,6409,0
1509,27,1403,172,0
4349,263,7363,4480,0
88,2,0,0,0
6866,242,24141,4206,0
2551,74,6875,134,0
388,4,371,79,0
3,0,0,0,0
609,13,169,0,0
1502,38,342,0,0
732,9,0,0,0
479,14,0,0,0
0,0,0,0,0
862,13,250,10,0
5110,98,3088,0,0
1267,10,2892,0,0
45,0,0,0,0
448,5,1,0,0
4231,189,4326,0,0
3101,51,1231,0,0
744,44,0,0,0
7,36,1866,0,0
3215,69,10290,1,0
194,1,12,0,0
64,0,0,0,0
4335,272,10797,0,0
6738,195,3747,0,0
1672,120,243,0,0
3884,203,640,0,0
7611,445,4179,0,0
415,1,0,0,0
4749,206,3803,1,0
0,0,0,0,0
8001,116,6484,265,0
694,18,0,0,0
3113,36,3676,0,0
0,0,1075,0,0
3732,105,808,0,0
69,2,0,0,0
10335,543,36346,321,0
3690,96,7663,0,0
2392,51,4098,0,0
817,51,597,1,0
0,0,0,0,0
114,4,0,0,0
2717,150,11636,85,0
149,1,0,0,0
316,5,1,0,0
10860,287,5003,160,0
321,9,0,0,0
1872,63,121,0,0
9165,280,2746,94,0
98,1,0,0,0
9418,294,71954,20,0
17682,1484,51806,964,0
411,0,0,0,0
5330,150,2028,1,0
759,47,596,65,0
1155,49,277,0,0
595,37,0,0,0
4502,370,2802,0,0
13,6,0,0,0
1338,49,3267,183,0
5876,336,1250,1,0
196,6,0,0,0
703,40,1744,104,0
59,6,0,0,0
3210,35,116,0,0
343,6,0,0,0
11,4,77,0,0
737,10,57,0,0
4958,124,4279,19,0
655,25,0,0,0
3953,110,4772,0,0
1048,30,0,0,0
843,35,792,0,0
2579,68,1865,0,0
2869,47,411,0,0
462,0,0,0,0
11717,351,1469,259,0
400,1,0,0,0
415,0,0,0,0
54,2,0,0,0
86,2,0,0,0
2215,10,2114,0,0
2251,26,142,0,0
4188,98,566,0,0
448,6,0,0,0
2963,63,283,0,0
459,2,0,0,0
3065,30,231,0,0
415,0,23,0,0
4881,117,566,0,0
461,1,0,0,0
72,1,0,0,0
2818,64,2015,5,0
4579,83,14169,205,0
6010,115,6504,16,0
18,0,0,0,0
725,19,0,0,0
2245,78,1757,1,0
1979,52,626,0,0
818,20,75,0,0
4121,119,18357,8,0
6636,148,13034,3,0
11331,591,14052,846,0
2877,87,1316,26,0
1623,21,497,0,0
6605,234,23743,1135,0
14643,463,32867,3605,0
9203,167,2189,3,0
3441,80,1732,0,0
13837,379,5920,6,0
247,5,0,0,0
1099,29,0,0,0
1440,66,668,22,0
4462,146,22223,59,0
1229,22,2214,0,0
1480,48,4301,34,0
18336,1264,74367,756,0
4421,179,5664,83,0
436,54,0,0,0
3053,62,2782,0,0
455,0,0,0,0
7390,314,11190,42,0
4362,59,16587,771,0
13422,408,16281,1,0
4396,71,7846,0,0
353,1,0,0,0
12443,647,3911,49,0
396,14,271,0,0
